Element	English	Macedonian
Rubidium	German chemists Robert Bunsen and Gustav Kirchhoff discovered rubidium in 1861 by the newly developed method of flame spectroscopy.<br><br>The separation of the metal was tried by Bunsen, but he never got samples with more than 18% of Rubidium.<br><br>The separation of the metal was only accomplished by George de Hevesy, through the hydrolysis of melted rubidium hydroxide.	Германските хемичари Robert Bunsen и Gustav Kirchhoff го открил рубидиумот во 1861 година со новоразвиената метода на пламена спектроскопија.<br><br>Одвојувањето на металот го пробал Bunsen, но никогаш не добил примероци со повеќе од 18% рубидиум.<br><br>Одвојувањето на металот го постигнал само George de Hevesy, преку хидролиза на стопен рубидиум хидроксид.
Strontium	Strontium was recognized as a new element in 1790 when Adair Crawford and his colleague William Cruickshank analyzed a mineral sample from a lead mine near Strontian, Scotland.<br><br>The element was eventually isolated by Sir Humphry Davy in 1808.<br><br>The isolation was done by the electrolysis of a mixture containing strontium chloride and mercuric oxide.	Стронциумот бил препознаен како нов елемент во 1790 година кога Adair Crawford и неговиот колега William Cruickshank анализирале минерален примерок од оловен рудник близу Стронтијан, Шкотска.<br><br>Елементот конечно бил изолиран од Sir Humphry Davy во 1808 година.<br><br>Изолацијата е направена со електролиза на мешавина содржеќи стронциум хлорид и жива оксид.
Yttrium	In 1787, Carl Axel Arrhenius found a new mineral near Ytterby in Sweden and named it ytterbite, after the village.<br><br>Johan Gadolin discovered yttrium's oxide in Arrhenius' sample in 1789, and Anders Gustaf Ekeberg named the new oxide yttria.<br><br>Elemental yttrium was first isolated in 1828 by Friedrich Wöhler.	Во 1787 година, Carl Axel Arrhenius нашол нов минерал близу Итерби во Шведска и го именувал итербит, по селото.<br><br>Johan Gadolin го открил оксидот на итриум во примерокот на Arrhenius во 1789 година, а Anders Gustaf Ekeberg го именувал новиот оксид итрија.<br><br>Елементарниот итриум прво бил изолиран во 1828 година од Friedrich Wöhler.
Zirconium	Zirconium was first recognized as an element by Martin Heinrich Klaproth in 1789, in Berlin, in a sample of zircon from Sri Lanka.<br><br>Zirconium metal was first obtained in an impure form in 1824 by Jöns Jakob Berzelius by heating a mixture of potassium and potassium zirconium fluoride in an iron tube.<br><br>Dutch scientists Anton Eduard van Arkel and Jan Hendrik de Boer discovered a method for producing high purity zirconium in 1925.	Циркониумот прво бил препознаен како елемент од Martin Heinrich Klaproth во 1789 година, во Берлин, во примерок на циркон од Шри Ланка.<br><br>Металот циркониум прво бил добиен во нечиста форма во 1824 година од Jöns Jakob Berzelius со загревање на мешавина од калиум и калиум циркониум флуорид во железна цевка.<br><br>Холандските научници Anton Eduard van Arkel и Jan Hendrik de Boer открил метода за производство на циркониум со висока чистота во 1925 година.
Niobium	Niobium was discovered by the English chemist Charles Hatchett in 1801 and named the new element columbium.<br><br>In 1846, German chemist Henrich Rose independently discovered the element and named it niobium.<br><br>The metal was first isolated by Swedish scientist Christian Wilhelm Blomstrand in 1864 who reduced the chloride by heating it in a hydrogen atmosphere.	Ниобиумот бил открен од англискиот хемичар Charles Hatchett во 1801 година и го именувал новиот елемент колумбиум.<br><br>Во 1846 година, германскиот хемичар Henrich Rose независно го открил елементот и го именувал ниобиум.<br><br>Металот прво бил изолиран од шведскиот научник Christian Wilhelm Blomstrand во 1864 година, кој го редуцирал хлоридот со загревање во атмосфера на водород.
Molybdenum	Molybdenite was often confused for graphite and it was thought to contain lead.<br><br>In 1778 Swedish scientist Carl Wilhelm Scheele proved that molybdenite was not graphite nor did it contain lead.<br><br>In 1781, Scheele's friend and countryman, Peter J. Hjelm isolated the metal by using carbon and linseed oil.	Молибденитот честопати се мешал со графит и се сметало дека содржи олово.<br><br>Во 1778 година, шведскиот научник Carl Wilhelm Scheele докажал дека молибденитот не е графит ниту содржи олово.<br><br>Во 1781 година, пријателот и земјак на Scheele, Peter J. Hjelm го изолирал металот со употреба на јаглерод и ленено масло.
Technetium	Element 43 was predicted on the basis of the periodic table, and was erroneously reported as having been discovered in 1925, at which time it was named masurium.<br><br>The element was actually discovered by Carlo Perrier and Emilio Segrè in 1937.<br><br>It was also found in a sample of molybdenum sent by Ernest Lawrence that was bombarded by deuterons in the Berkeley cyclotron.	Елемент 43 бил предвиден врз основа на периодниот систем, и погрешно бил пријавен дека е открен во 1925 година, при што е наречен мазуриум.<br><br>Елементот всушност бил открен од Carlo Perrier и Emilio Segrè во 1937 година.<br><br>Исто така бил пронајден во примерок на молибден испратен од Ernest Lawrence кој бил бомбардиран со деутерони во Berkeley циклотронот.
Ruthenium	Jędrzej Śniadecki isolated the element in 1807, but his work was not ratified.<br><br>Jöns Berzelius and Gottfried Osann nearly discovered ruthenium in 1827.<br><br>In 1844, Karl Ernst Claus confirmed that there was a new element and isolated ruthenium from the platinum residues of the rouble production while he was working in Kazan University, Kazan.	Jędrzej Śniadecki го изолирал елементот во 1807 година, но неговата работа не bila ратификувана.<br><br>Jöns Berzelius и Gottfried Osann речиси го открил рутениумот во 1827 година.<br><br>Во 1844 година, Karl Ernst Claus потврдил дека постои нов елемент и го изолирал рутениумот од платинските остатоци при производство на рубљи додека работел на Универзитетот во Казан, Казан.
Rhodium	Rhodium was discovered in 1803 by William Hyde Wollaston in London.<br><br>He used crude platinum ore presumably obtained from South America.<br><br>The introduction of the three way catalytic converter by Volvo in 1976 increased the demand for rhodium.	Родиумот бил открен во 1803 година од William Hyde Wollaston во Лондон.<br><br>Тој користел груба платинска руда, претпоставено добиена од Јужна Америка.<br><br>Воведувањето на тронасочниот каталитички конвертор од Volvo во 1976 година ја зголемило побарувачката за родиум.
Palladium	Palladium was discovered in 1803, in London, by English chemist William Hyde Wollaston.<br><br>He examined the residues left from platinum after dissolving it in aqua regia, a concentrated solution of hydrochloric and nitric acids.<br><br>He then isolated palladium in a series of chemical reactions.	Палaдиумот бил открен во 1803 година, во Лондон, од англискиот хемичар William Hyde Wollaston.<br><br>Тој ги испитал остатоците оставени од платината по растворање во акуа регија, концентриран раствор на хлороводородна и азотна киселина.<br><br>Потоа го изолирал паладиумот во низа хемиски реакции.
Silver	Silver has been used for thousands of years for ornaments and utensils, for trade, and as the basis for many monetary systems.<br><br>Its value as a precious metal was long considered second only to gold.<br><br>Slag dumps in Asia Minor and on islands in the Aegean Sea indicate that man learned to separate silver from lead as early as 3000 BC.	Среброто се употребувало илјадници години за украси и прибор, за трговија и како основа за многу монетарни системи.<br><br>Неговата вредност како скапоцен метал долго се сметала за втора по злато.<br><br>Депонии на шљака во Мала Азија и на острови во Егејското Море укажуваат дека човекот научил да го одвојува среброто од оловото уште во 3000 г.п.н.е.
Cadmium	Cadmium was discovered by German chemist Friedrich Stromeyer in 1817 as an impurity in zinc carbonate.<br><br>Stromeyer noted that some impure samples of calamine (zinc carbonate) changed color when heated but pure calamine did not.<br><br>Cadmium was independently discovered by German chemist Karl Hermann in 1818.	Кадмиумот бил открен од германскиот хемичар Friedrich Stromeyer во 1817 година како нечистотија во цинк карбонат.<br><br>Stromeyer забележал дека некои нечисти примероци на каламин (цинк карбонат) ја менуваат бојата при загревање, но чистиот каламин не.<br><br>Кадмиумот независно бил открен од германскиот хемичар Karl Hermann во 1818 година.
Indium	Ferdinand Reich and Hieronymous Theodor Richter first identified indium in sphalerite by its bright indigo-blue spectroscopic emission line.<br><br>As no element was known with a bright blue emission they concluded that a new element was present in the minerals.<br><br>Richter went on to isolate the metal in 1864.	Ferdinand Reich и Hieronymous Theodor Richter прво го идентификувале индиумот во сфалерит преку неговата светло индиго-сина спектроскопска емисиона линија.<br><br>Бидејќи не бил познат елемент со светло сина емисија, тие заклучиле дека во минералите е присутен нов елемент.<br><br>Richter продолжил да го изолира металот во 1864 година.
Tin	Tin was first smelted in combination with copper around 3500 BC to produce bronze.<br><br>The oldest artifacts date from around 2000 BC.<br><br>Cassiterite, the tin oxide form of tin, was most likely the original source of tin in ancient times.<br><br>British scientist Robert Boyle published a description of his experiments on the oxidation of tin in 1673.	Калајот прво бил топен во комбинација со бакар околу 3500 г.п.н.е. за производство на бронза.<br><br>Најстарите артефакти датираат од околу 2000 г.п.н.е.<br><br>Касеритот, формата на калај оксид, најверојатно бил оригиналниот извор на калај во антиката.<br><br>Британскиот научник Robert Boyle објавил опис на своите експерименти за оксидација на калај во 1673 година.
Antimony	One of antimony's minerals, stibnite was recognized in predynastic Egypt as an eye cosmetic as early as about 3100 BC.<br><br>The first European description of a procedure for isolating antimony is in the book De la pirotechnia of 1540 by Vannoccio Biringuccio.<br><br>The first natural occurrence of pure antimony in the Earth's crust was described by the Swedish scientist and local mine district engineer Anton von Swab in 1783.	Еден од минералите на антимонот, стибнитот, бил препознаен во преддинастичкиот Египет како козметик за очи уште во околу 3100 г.п.н.е.<br><br>Првиот европски опис на постапката за изолирање на антимон е во книгата De la pirotechnia од 1540 година на Vannoccio Biringuccio.<br><br>Прво природно јавување на чист антимон во земјината кора го опишал шведскиот научник и инженер на локален рудник Anton von Swab во 1783 година.
Tellurium	Tellurium was discovered in Transylvania in 1782 by Franz-Joseph Müller von Reichenstein in a mineral containing tellurium and gold.<br><br>In 1789, another Hungarian scientist, Pál Kitaibel, also discovered the element independently in an ore from Deutsch-Pilsen which had been regarded as argentiferous molybdenite.<br><br>In 1798, it was named by Martin Heinrich Klaproth who earlier isolated it from the mineral calaverite.	Телурот бил открен во Трансилванија во 1782 година од Franz-Joseph Müller von Reichenstein во минерал кој содржел телур и злато.<br><br>Во 1789 година, друг унгарски научник, Pál Kitaibel, исто така независно го открил елементот во руда од Deutsch-Pilsen која била сметана за аргентиферозен молибденит.<br><br>Во 1798 година, го именувал Martin Heinrich Klaproth кој претходно го изолирал од минералот калаверит.
Iodine	Iodine was discovered by French chemist Bernard Courtois in 1811.<br><br>He treated the liquor obtained from the extraction of kelp, with sulfuric acid to produce a vapour with a violet color.<br><br>In 1812, Joseph Louis Gay-Lussac demonstrated that iodine was an element and its chemical relationship to chlorine.	Јодот бил открен од францускиот хемичар Bernard Courtois во 1811 година.<br><br>Тој го третирал течноста добиена со екстракција на алги, со сулфурна киселина за да произведе пареа со виолетова боја.<br><br>Во 1812 година, Joseph Louis Gay-Lussac докажал дека јодот е елемент и ја покажал неговата хемиска врска со хлорот.
Xenon	Xenon was discovered in England by the Scottish chemist William Ramsay and English chemist Morris Travers in 1898.<br><br>They found xenon in the residue left over from evaporating components of liquid air.<br><br>Spectroscopic analysis showed the previously unseen beautiful blue lines that indicated the presence of a new element.	Ксенонот бил открен во Англија од шкотскиот хемичар William Ramsay и англискиот хемичар Morris Travers во 1898 година.<br><br>Го нашле ксенонот во остатокот преостанат по испарувањето на компоненти на течен воздух.<br><br>Спектроскопската анализа покажала претходно невидени убави сини линии кои укажувале на присуство на нов елемент.
Caesium	Robert Bunsen and Gustav Kirchhoff were the first to suggest finding cesium in 1860 by spectrum analysis.<br><br>They discovered cesium by its two blue emission lines in a sample of Dürkheim mineral water.<br><br>The pure metal was eventually isolated by the German chemist Carl Setterberg while working on his doctorate with Kekulé and Bunsen.	Robert Bunsen и Gustav Kirchhoff биле први кои предложиле наоѓање на цезиум во 1860 година преку спектрална анализа.<br><br>Го открил цезиумот преку неговите две сини емисиони линии во примерок на минерална вода од Диркхајм.<br><br>Чистиот метал конечно бил изолиран од германскиот хемичар Carl Setterberg додека работел на докторатот со Kekulé и Bunsen.
Barium	Barium was identified as a new element in 1774 by Carl Wilhelm Scheele.<br><br>Barium was first isolated by electrolysis of molten barium salts in 1808, by Sir Humphry Davy in England.<br><br>Robert Bunsen and Augustus Matthiessen obtained pure barium by electrolysis of a molten mixture of barium chloride and ammonium chloride.	Бариумот бил идентификуван како нов елемент во 1774 година од Carl Wilhelm Scheele.<br><br>Бариумот прво бил изолиран со електролиза на стопени бариумови соли во 1808 година, од Sir Humphry Davy во Англија.<br><br>Robert Bunsen и Augustus Matthiessen добиле чист бариум со електролиза на стопена мешавина на бариум хлорид и амониум хлорид.
Lanthanum	Lanthanum was discovered in 1839 by Swedish chemist Carl Gustav Mosander.<br><br>He partially decomposed a sample of cerium nitrate by heating and treating the resulting salt with dilute nitric acid.<br><br>From the resulting solution, he obtained a pale brick colored oxide of the new rare earth.<br><br>Lanthanum was isolated in relatively pure form in 1923.	Лантанот бил открен во 1839 година од шведскиот хемичар Carl Gustav Mosander.<br><br>Тој делумно разложил примерок на цериум нитрат со загревање и третирање на добиената сол со разредена азотна киселина.<br><br>Од добиениот раствор, тој добил бледо цигла-обоен оксид на новата ретка земја.<br><br>Лантанот бил изолиран во релативно чиста форма во 1923 година.
Cerium	Jöns Jakob Berzelius and Wilhelm Hisinger discovered the element in ceria in 1803 in Sweden.<br><br>Klaproth discovered it simultaneously and independently in some tantalum samples in Germany.<br><br>Carl Gustaf Mosander, who worked closely with Berzelius, prepared metallic cerium in 1825.	Jöns Jakob Berzelius и Wilhelm Hisinger го открил елементот во серија во 1803 година во Шведска.<br><br>Klaproth го открил истовремено и независно во некои примероци на тантал во Германија.<br><br>Carl Gustaf Mosander, кој работел тесно со Berzelius, приготвил метален цериум во 1825 година.
Praseodymium	Praseodymium was first identified in 1885, in Vienna, by the Austrian chemist Carl Auer von Welsbach.<br><br>It was discovered in didymium, a substance incorrectly said by Carl Gustav Mosander to be a new element in 1841.<br><br>Pure metallic praseodymium was first produced in 1931.	Прасеодимиумот прво бил идентификуван во 1885 година, во Виена, од австрискиот хемичар Carl Auer von Welsbach.<br><br>Бил открен во дидимиум, супстанција за која Carl Gustav Mosander погрешно тврдел дека е нов елемент во 1841 година.<br><br>Чист метален прасеодимиум прво бил произведен во 1931 година.
Neodymium	Neodymium was first identified in 1885, in Vienna, by the Austrian chemist Carl Auer von Welsbach.<br><br>It was discovered in didymium, a substance incorrectly said by Carl Gustav Mosander to be a new element in 1841.<br><br>Pure neodymium metal was isolated in 1925.	Неодимиумот прво бил идентификуван во 1885 година, во Виена, од австрискиот хемичар Carl Auer von Welsbach.<br><br>Бил открен во дидимиум, супстанција за која Carl Gustav Mosander погрешно тврдел дека е нов елемент во 1841 година.<br><br>Чист метал неодимиум бил изолиран во 1925 година.
Promethium	The existence of an element between neodymium and samarium was first predicted by Czech chemist Bohuslav Brauner in 1902.<br><br>Promethium was first produced and characterized at Oak Ridge National Laboratory in 1945 by Jacob A. Marinsky, Lawrence E. Glendenin and Charles D. Coryell.<br><br>It was produced by the separation and analysis of the fission products of uranium fuel irradiated in a graphite reactor.	Постоењето на елемент помеѓу неодимиум и самариум прво го предвидел чешкиот хемичар Bohuslav Brauner во 1902 година.<br><br>Прометиумот прво бил произведен и карактеризиран во Националната лабораторија во Оук Риџ во 1945 година од Jacob A. Marinsky, Lawrence E. Glendenin и Charles D. Coryell.<br><br>Бил произведен со одвојување и анализа на производите на фисија на ураниумско гориво зрачено во графитен реактор.
Samarium	In 1853, Jean Charles Galissard de Marignac discovered samarium when he found lines in mineral spectra.<br><br>Paul Émile Lecoq de Boisbaudran isolated a samarium salt in Paris in 1879 from the mineral samarskite and identified a new element in it via sharp optical absorption lines.<br><br>The pure element was produced only in 1901 by Eugène-Anatole Demarçay.	Во 1853 година, Jean Charles Galissard de Marignac го открил самариумот кога нашол линии во минералните спектри.<br><br>Paul Émile Lecoq de Boisbaudran изолирал самариумова сол во Париз во 1879 година од минералот самарскит и идентификувал нов елемент во него преку остри оптички апсорпциони линии.<br><br>Чистиот елемент бил произведен дури во 1901 година од Eugène-Anatole Demarçay.
Europium	Europium was first found by Paul Émile Lecoq de Boisbaudran in 1890.<br><br>In 1896, French chemist Eugène-Antole Demarçay identified spectroscopic lines in ‘samarium' caused by europium.<br><br>He successfully isolated europium in 1901 using repeated crystallizations of samarium magnesium nitrate.	Европиумот прво бил пронајден од Paul Émile Lecoq de Boisbaudran во 1890 година.<br><br>Во 1896 година, францускиот хемичар Eugène-Antole Demarçay идентификувал спектроскопски линии во 'самариум' предизвикани од европиум.<br><br>Успешно го изолирал европиумот во 1901 година преку повторена кристализација на самариум магнезиум нитрат.
Gadolinium	Gadolinium was first detected spectroscopically in 1880 by the Swiss chemist Jean Charles Galissard de Marignac who separated its oxide.<br><br>He observed spectroscopic lines due to gadolinium in samples of gadolinite and in the separate mineral cerite.<br><br>The metal was isolated by Paul Emile Lecoq de Boisbaudran in 1886.	Гадолиниумот прво бил спектроскопски детектиран во 1880 година од швајцарскиот хемичар Jean Charles Galissard de Marignac кој го одвоил неговиот оксид.<br><br>Тој забележал спектроскопски линии поради гадолиниум во примероци на гадолинит и во одделниот минерал церит.<br><br>Металот бил изолиран од Paul Emile Lecoq de Boisbaudran во 1886 година.
Terbium	Terbium was discovered in 1843 by Swedish chemist Carl Gustaf Mosander, who detected it as an impurity in yttria.<br><br>Using ammonium hydroxide he precipitated fractions of different basicity from yttria.<br><br>In these fractions he found that the fraction that was essentially colorless in solution, but gave a brown-tinged oxide was terbium.	Тербиумот бил открен во 1843 година од шведскиот хемичар Carl Gustaf Mosander, кој го детектирал како нечистотија во итрија.<br><br>Со амониум хидроксид тој истворил фракции со различна базност од итрија.<br><br>Во овие фракции тој открил дека фракцијата која е суштински безбојна во раствор, но дала оксид со кафена нијанса, е тербиум.
Dysprosium	French chemist Paul Émile Lecoq de Boisbaudran, while working with holmium oxide, separated dysprosium oxide from it in Paris in 1886.<br><br>His procedure for isolating the dysprosium involved dissolving dysprosium oxide in acid, then adding ammonia to precipitate the hydroxide.<br><br>It was not isolated in pure form until the development of ion exchange techniques in the 1950s.	Францускиот хемичар Paul Émile Lecoq de Boisbaudran, додека работел со холмиум оксид, го одвоил диспрозиум оксидот од него во Париз во 1886 година.<br><br>Неговата постапка за изолирање на диспрозиумот вклучувала растворање на диспрозиум оксид во киселина, потоа додавање амонијак за таложење на хидроксидот.<br><br>Не бил изолиран во чиста форма сè до развојот на техниките за јонска измена во 1950-тите.
Holmium	Holmium was discovered by Swiss chemists Marc Delafontaine and Jacques-Louis Soret in 1878.<br><br>They noticed the aberrant spectrographic absorption bands of the then-unknown element.<br><br>Later in 1878, Per Teodor Cleve independently discovered the element while he was working on erbia earth.	Холмиумот бил открен од швајцарските хемичари Marc Delafontaine и Jacques-Louis Soret во 1878 година.<br><br>Тие ги забележале абератните спектрографски апсорпциони ленти на тогаш непознатиот елемент.<br><br>Подоцна во 1878 година, Per Teodor Cleve независно го открил елементот додека работел со ербиева земја.
Erbium	Erbium was discovered in 1843 by Swedish chemist Carl Gustaf Mosander, who detected it as an impurity in yttria.<br><br>Using ammonium hydroxide he precipitated fractions of different basicity from yttria.<br><br>In these fractions he found that the fraction that contained the pink color was erbium.	Ербиумот бил открен во 1843 година од шведскиот хемичар Carl Gustaf Mosander, кој го детектирал како нечистотија во итрија.<br><br>Со амониум хидроксид тој истворил фракции со различна базност од итрија.<br><br>Во овие фракции тој открил дека фракцијата која содржела розова боја е ербиум.
Thulium	Thulium was discovered by Swedish chemist Per Teodor Cleve in 1879 by looking for impurities in the oxides of other rare earth elements.<br><br>The first researcher to obtain nearly pure thulium was Charles James, a British expatriate working on a large scale at New Hampshire College in Durham.<br><br>High-purity thulium oxide was first offered commercially in the late 1950s.	Тулиумот бил открен од шведскиот хемичар Per Teodor Cleve во 1879 година со барање нечистотии во оксидите на другите ретки земји.<br><br>Првиот истражувач кој добил речиси чист тулиум бил Charles James, британски иселеник кој работел на голем обем во College во Нов Хемпшир во Дарам.<br><br>Тулиум оксид со висока чистота прво бил понуден комерцијално кон крајот на 1950-тите.
Ytterbium	Ytterbium was discovered by the Swiss chemist Jean Charles Galissard de Marignac in the year 1878.<br><br>In 1907, in Paris, George Urbain separated ytterbia into two constituents.<br><br>Ytterbium metal was first made in 1937 by Klemm and Bonner by heating ytterbium chloride and potassium together.<br><br>A relatively pure sample of the metal was obtained only in 1953.	Итербиумот бил открен од шведскиот хемичар Jean Charles Galissard de Marignac во 1878 година.<br><br>Во 1907 година, во Париз, George Urbain го разделил итербија на два состојки.<br><br>Металниот итербиум прво бил направен во 1937 година од Klemm и Bonner со загревање на итербиум хлорид и калиум заедно.<br><br>Релативно чист примерок на металот бил добиен дури во 1953 година.
Lutetium	French chemist Georges Urbain successfully separated lutetium from ytterbia in 1907 in Paris.<br><br>Austrian scientist Carl Auer von Welsbach and American chemist Charles James also succeeded in isolating lutetium independently in the same year.<br><br>Pure lutetium metal was first produced in 1953.	Францускиот хемичар Georges Urbain успешно го одвоил лутециумот од итербија во 1907 година во Париз.<br><br>Австрискиот научник Carl Auer von Welsbach и американскиот хемичар Charles James исто така успеале да го изолираат лутециумот независно во истата година.<br><br>Чист метален лутециум прво бил произведен во 1953 година.
Hafnium	In 1911, Georges Urbain claimed to have found the element in rare-earth residues which was shown later to be a mixture of already discovered lanthanides.<br><br>Dirk Coster and George de Hevesy found it by X-ray spectroscopic analysis in Norwegian zircon in 1922.<br><br>Anton Eduard van Arkel and Jan Hendrik de Boer were the first to prepare metallic hafnium by passing hafnium tetra-iodide vapor over a heated tungsten filament in 1924.	Во 1911 година, Georges Urbain тврдел дека го нашол елементот во остатоци од ретки земји, за кои подоцна се покажало дека се мешавина од веќе открени лантаниди.<br><br>Dirk Coster и George de Hevesy го нашле со рендгенска спектроскопска анализа во норвешки циркон во 1922 година.<br><br>Anton Eduard van Arkel и Jan Hendrik de Boer биле први кои приготвиле метален хафниум со поминување на пареа на хафниум тетра-јодид преку загреана волфрамска жица во 1924 година.
Tantalum	Tantalum was discovered in Sweden in 1802 by Anders Ekeberg in the minerals tantalite from Finland and yttrotantalite from Sweden.<br><br>Unfortunately, William Hyde Wollaston claimed Ekeberg's new element was actually niobium, which had also been discovered in 1802.<br><br>In 1846, German chemist Heinrich Rose finally proved beyond doubt that tantalum and niobium were different elements.	Tantaalот бил открен во Шведска во 1802 година од Anders Ekeberg во минералите танталит од Финска и итротанталит од Шведска.<br><br>За жал, William Hyde Wollaston тврдел дека новиот елемент на Ekeberg всушност е ниобиум, кој исто така бил открен во 1802 година.<br><br>Во 1846 година, германскиот хемичар Heinrich Rose конечно докажал без сомневање дека танталот и ниобиумот се различни елементи.
Tungsten	Torbern Bergman obtained from scheelite an oxide of a new element in 1781.<br><br>In 1783, José and Fausto Elhuyar found an acid made from wolframite that was identical to tungstic acid.<br><br>Later that year, in Spain, the brothers succeeded in isolating tungsten by reduction of this acid with charcoal, and they are credited with the discovery of the element.	Torbern Bergman добил од схеелит оксид на нов елемент во 1781 година.<br><br>Во 1783 година, José и Fausto Elhuyar нашле киселина направена од волфрамит која е идентична на волфрамска киселина.<br><br>Подоцна истата година, во Шпанија, браќата успеале да го изолираат волфрамот со редукција на оваа киселина со јаглерод, и им се припишува откривањето на елементот.
Rhenium	In 1908, Japanese chemist Masataka Ogawa announced that he discovered the 43rd element.<br><br>However, later analysis indicated the presence of rhenium (element 75), not element 43.<br><br>In 1922, Walter Noddack, Ida Eva Tacke and Otto Berg announced its separation from gadolinite and gave it the present name.	Во 1908 година, јапанскиот хемичар Masataka Ogawa објавил дека го открил 43-тиот елемент.<br><br>Сепак, подоцнешна анализа укажала на присуство на рениум (елемент 75), а не елемент 43.<br><br>Во 1922 година, Walter Noddack, Ida Eva Tacke и Otto Berg ја објавиле неговото одвојување од гадолинит и му го дале сегашното име.
Osmium	Osmium was discovered in 1803 by English chemist Smithson Tennant in London.<br><br>Chemists who studied platinum dissolved it in aqua regia to create soluble salts and observed a small amount of a dark, insoluble residue.<br><br>Smithson Tennant analyzed the insoluble residue and concluded that it must contain a new metal.	Осмиумот бил открен во 1803 година од англискиот хемичар Smithson Tennant во Лондон.<br><br>Хемичарите кои го проучувале платинот го растворале во акуа регија за да создадат растворливи соли и забележале мала количина на темен, нерастворлив остаток.<br><br>Smithson Tennant го анализирал нерастворливиот остаток и заклучил дека мора да содржи нов метал.
Iridium	Iridium was discovered in 1803 by English chemist Smithson Tennant in London.<br><br>Chemists who studied platinum dissolved it in aqua regia to create soluble salts and observed a small amount of a dark, insoluble residue.<br><br>Smithson Tennant analyzed the insoluble residue and concluded that it must contain a new metal.	Иридиумот бил открен во 1803 година од англискиот хемичар Smithson Tennant во Лондон.<br><br>Хемичарите кои го проучувале платинот го растворале во акуа регија за да создадат растворливи соли и забележале мала количина на темен, нерастворлив остаток.<br><br>Smithson Tennant го анализирал нерастворливиот остаток и заклучил дека мора да содржи нов метал.
Platinum	Platinum was first used by pre-Columbian South American natives to produce artifacts.<br><br>Antonio de Ulloa published his findings about platinum in 1748, but Sir Charles Wood also investigated the metal in 1741.<br><br>First reference to it as a new metal was made by William Brownrigg in 1750.	Платинот прво го употребувале предколумбиски домородни народи од Јужна Америка за изработка на артефакти.<br><br>Antonio de Ulloa ги објавил своите откритија за платинот во 1748 година, но Sir Charles Wood исто така го истражувал металот во 1741 година.<br><br>Прво споменување на него како нов метал направил William Brownrigg во 1750 година.
Gold	Gold has been known since prehistoric times and was the first metal used by humans.<br><br>Gold artifacts dated to 5000 years ago have been found in Egyptian tombs.<br><br>Gold of 98% purity has been found in Nahal Qunah in the ancient kingdom of Israel, dating from about 6000 years ago.	Златото е познато уште од праисторијата и бил прв метал употребен од луѓето.<br><br>Златни артефакти датирани на 5000 години биле пронајдени во египетски гробници.<br><br>Злато со 98% чистота е пронајдено во Нахал Кунах во античкото кралство Израел, датирано од околу 6000 години назад.
Mercury	Mercury was known to the ancient Chinese and Indians and has been found in Egyptian tombs dating back to about 1500 BC.<br><br>Alchemists thought of mercury as the First Matter from which all metals were formed.<br><br>They believed that different metals could be produced by varying the quality and quantity of sulfur contained within the mercury.	Жива било познато на античките Кинези и Индијци и е пронајдено во египетски гробници датирани наназад до околу 1500 г.п.н.е.<br><br>Алхемичарите ја сметале живата за Примарна Материја од која биле формирани сите метали.<br><br>Тие верувале дека различни метали можат да се произведат со варирање на квалитетот и количеството на сулфур содржан во живата.
Thallium	Thallium was discovered spectroscopically by Sir William Crookes in 1861, in London.<br><br>In 1862, Claude-Auguste Lamy used a spectrometer to determine the composition of a selenium-containing substance which was deposited during the production of sulfuric acid from pyrite.<br><br>He noticed the new green line in the spectra and concluded that a new element was present.	Талиумот бил спектроскопски открен од Sir William Crookes во 1861 година, во Лондон.<br><br>Во 1862 година, Claude-Auguste Lamy користел спектрометар за да го утврди составот на супстанција која содржи селен и која се таложела при производство на сулфурна киселина од пирит.<br><br>Тој забележал нова зелена линија во спектрите и заклучил дека е присутен нов елемент.
Lead	Metallic lead beads dating back to 6400 BC have been found in Çatalhöyük in modern-day Turkey.<br><br>The Romans also used lead in molten form to secure iron pins that held together large limestone blocks in certain monumental buildings.<br><br>In alchemy, lead was thought to be the oldest metal and was associated with the planet Saturn.	Метални оловни перли датирани до 6400 г.п.н.е. биле пронајдени во Çatalhöyük во денешна Турција.<br><br>Римјаните исто така употребувале олово во растопена форма за учвршнување на железни иглички кои ги спојувале големи варовнички блокови во одредени монументални градби.<br><br>Во алхемијата, оловото се сметало за најстариот метал и се поврзувало со планетата Сатурн.
Bismuth	Bismuth has been known since ancient times, so no one person is credited with its discovery.<br><br>The element was confused in early times with tin and lead because of its resemblance to those elements.<br><br>In 1753, French chemist Claude François Geoffroy demonstrated that this metal is distinct from lead and tin.	Бизмутот е познат уште од антиката, така да ниедна личност не е заслужна за неговото откривање.<br><br>Елементот во раниот период се мешал со калај и олово поради неговата сличност со тие елементи.<br><br>Во 1753 година, францускиот хемичар Claude François Geoffroy докажал дека овој метал е различен од олово и калај.
Polonium	Polonium was discovered by Marie and Pierre Curie in 1898 in Paris.<br><br>This element was the first one discovered by the Curies while they were investigating the cause of pitchblende radioactivity.<br><br>The dangers of working with radioactive elements were not known when the Curies made their discoveries.	Полониумот бил открен од Marie и Pierre Curie во 1898 година во Париз.<br><br>Овој елемент бил прв открен од Кири додека го истражувале причинот за радиоактивноста на питчбленда.<br><br>Опасностите од работа со радиоактивни елементи не биле познати кога Кири ги направиле своите откритија.
