Element	English	Esperanto
Samarium	In 1853, Jean Charles Galissard de Marignac discovered samarium when he found lines in mineral spectra.<br><br>Paul Émile Lecoq de Boisbaudran isolated a samarium salt in Paris in 1879 from the mineral samarskite and identified a new element in it via sharp optical absorption lines.<br><br>The pure element was produced only in 1901 by Eugène-Anatole Demarçay.	En 1853, Jean Charles Galissard de Marignac malkovris samarium kiam li trovis liniojn en mineralaj spectroj.<br><br>Paul Émile Lecoq de Boisbaudran izolis samarian salon en Parizo en 1879 el la mineralo samarskito kaj identigis novan elementon en ĝi per akraj optikaj absorptaj linioj.<br><br>La pura elemento estis produktita nur en 1901 de Eugène-Anatole Demarçay.
Europium	Europium was first found by Paul Émile Lecoq de Boisbaudran in 1890.<br><br>In 1896, French chemist Eugène-Antole Demarçay identified spectroscopic lines in ‘samarium' caused by europium.<br><br>He successfully isolated europium in 1901 using repeated crystallizations of samarium magnesium nitrate.	Eŭropio estis unue trovita de Paul Émile Lecoq de Boisbaudran en 1890.<br><br>En 1896, franca kemiisto Eugène-Anatole Demarçay identigis spektroskopiajn liniojn en 'samarium' kaŭzitajn de eŭropio.<br><br>Li sukcese izolis eŭropion en 1901 uzante ripetajn kristaligojn de samaria magneza nitrato.
Gadolinium	Gadolinium was first detected spectroscopically in 1880 by the Swiss chemist Jean Charles Galissard de Marignac who separated its oxide.<br><br>He observed spectroscopic lines due to gadolinium in samples of gadolinite and in the separate mineral cerite.<br><br>The metal was isolated by Paul Emile Lecoq de Boisbaudran in 1886.	Gadolinio estis unue spektroskope detektita en 1880 de la svisa kemiisto Jean Charles Galissard de Marignac, kiu apartigis ĝian oksidon.<br><br>Li observis spektroskopiajn liniojn pro gadolinio en specimenojn de gadolinito kaj en la aparta mineralo cerito.<br><br>La metalo estis izolita de Paul Emile Lecoq de Boisbaudran en 1886.
Terbium	Terbium was discovered in 1843 by Swedish chemist Carl Gustaf Mosander, who detected it as an impurity in yttria.<br><br>Using ammonium hydroxide he precipitated fractions of different basicity from yttria.<br><br>In these fractions he found that the fraction that was essentially colorless in solution, but gave a brown-tinged oxide was terbium.	Terbio estis malkovrita en 1843 de sveda kemiisto Carl Gustaf Mosander, kiu detektis ĝin kiel malpurecon en yttria.<br><br>Uzante amonian hidrooksidon li precipitis frakciojn de malsama bazeco el yttria.<br><br>En tiuj fraccioj li trovis ke la frakcio kiu estis esence senkolora en solvaĵo, sed donis brune-tintitan oksidon estis terbio.
Dysprosium	French chemist Paul Émile Lecoq de Boisbaudran, while working with holmium oxide, separated dysprosium oxide from it in Paris in 1886.<br><br>His procedure for isolating the dysprosium involved dissolving dysprosium oxide in acid, then adding ammonia to precipitate the hydroxide.<br><br>It was not isolated in pure form until the development of ion exchange techniques in the 1950s.	Franca kemiisto Paul Émile Lecoq de Boisbaudran, dum laborante kun holmia oksido, apartis disprozian oksidon de ĝi en Parizo en 1886.<br><br>Lia proceduro por izoli la disprozion implikis dissolvi disprozian oksidon en acido, tiam aldonante amoniakon por precipiti la hidrooksidon.<br><br>Ĝi ne estis izolita en pura formo ĝis la evoluigo de jona interŝanĝa teknikoj en la 1950aj jaroj.
Holmium	Holmium was discovered by Swiss chemists Marc Delafontaine and Jacques-Louis Soret in 1878.<br><br>They noticed the aberrant spectrographic absorption bands of the then-unknown element.<br><br>Later in 1878, Per Teodor Cleve independently discovered the element while he was working on erbia earth.	Holmio estis malkovrita de svisaj kemiistoj Marc Delafontaine kaj Jacques-Louis Soret en 1878.<br><br>Ili rimarkis la aberantajn spektrografiajn absorptajn bendojn de la tiam-nekonata elemento.<br><br>Poste en 1878, Per Teodor Cleve sendepende malkovris la elementon dum li laboris pri erbia tero.
Erbium	Erbium was discovered in 1843 by Swedish chemist Carl Gustaf Mosander, who detected it as an impurity in yttria.<br><br>Using ammonium hydroxide he precipitated fractions of different basicity from yttria.<br><br>In these fractions he found that the fraction that contained the pink color was erbium.	Erbio estis malkovrita en 1843 de sveda kemiisto Carl Gustaf Mosander, kiu detektis ĝin kiel malpurecon en yttria.<br><br>Uzante amonian hidrooksidon li precipitis frakciojn de malsama bazeco el yttria.<br><br>En tiuj fraccioj li trovis ke la frakcio kiu enhavis la rozkoloran koloron estis erbio.
Thulium	Thulium was discovered by Swedish chemist Per Teodor Cleve in 1879 by looking for impurities in the oxides of other rare earth elements.<br><br>The first researcher to obtain nearly pure thulium was Charles James, a British expatriate working on a large scale at New Hampshire College in Durham.<br><br>High-purity thulium oxide was first offered commercially in the late 1950s.	Tulio estis malkovrita de sveda kemiisto Per Teodor Cleve en 1879 per serĉado de malpurecoj en la oksidoj de aliaj maloftaj tera elementoj.<br><br>La unua esploristo por obteni preskaŭ puran tulion estis Charles James, brita ekspatriano laborante je granda skalo en la New Hampshire College en Durham.<br><br>Altpureca tulia oksido estis unue ofertita komerce en la malfruaj 1950aj jaroj.
Ytterbium	Ytterbium was discovered by the Swiss chemist Jean Charles Galissard de Marignac in the year 1878.<br><br>In 1907, in Paris, George Urbain separated ytterbia into two constituents.<br><br>Ytterbium metal was first made in 1937 by Klemm and Bonner by heating ytterbium chloride and potassium together.<br><br>A relatively pure sample of the metal was obtained only in 1953.	Iterbio estis malkovrita de la svisa kemiisto Jean Charles Galissard de Marignac en la jaro 1878.<br><br>En 1907, en Parizo, George Urbain apartis ytterbian en du konsistantojn.<br><br>Iterbio metalo estis unue farita en 1937 de Klemm kaj Bonner per varmigado de iterbio klorido kaj kalio kune.<br><br>Relative pura specimeno de la metalo estis obtena nur en 1953.
Lutetium	French chemist Georges Urbain successfully separated lutetium from ytterbia in 1907 in Paris.<br><br>Austrian scientist Carl Auer von Welsbach and American chemist Charles James also succeeded in isolating lutetium independently in the same year.<br><br>Pure lutetium metal was first produced in 1953.	Franca kemiisto Georges Urbain sukcese apartis luceon el ytterbia en 1907 en Parizo.<br><br>Aŭstria sciencisto Carl Auer von Welsbach kaj usona kemiisto Charles James ankaŭ sukcesis izoli luceon sendepende en la sama jaro.<br><br>Pura luceo metalo estis unue produktita en 1953.
Hafnium	In 1911, Georges Urbain claimed to have found the element in rare-earth residues which was shown later to be a mixture of already discovered lanthanides.<br><br>Dirk Coster and George de Hevesy found it by X-ray spectroscopic analysis in Norwegian zircon in 1922.<br><br>Anton Eduard van Arkel and Jan Hendrik de Boer were the first to prepare metallic hafnium by passing hafnium tetra-iodide vapor over a heated tungsten filament in 1924.	En 1911, Georges Urbain asertis trovi la elementon en maloftaj-tera restaĵoj, kio estis montrita poste esti miksaĵo de jam malkovritaj lantanidoj.<br><br>Dirk Coster kaj George de Hevesy trovis ĝin per X-radia spektroskopia analizo en norvega zirkono en 1922.<br><br>Anton Eduard van Arkel kaj Jan Hendrik de Boer estis la unuaj prepari metalan hafnion per pasigo de hafnia tetra-jodida vaporo super hejtita wolframa filamento en 1924.
Tantalum	Tantalum was discovered in Sweden in 1802 by Anders Ekeberg in the minerals tantalite from Finland and yttrotantalite from Sweden.<br><br>Unfortunately, William Hyde Wollaston claimed Ekeberg's new element was actually niobium, which had also been discovered in 1802.<br><br>In 1846, German chemist Heinrich Rose finally proved beyond doubt that tantalum and niobium were different elements.	Tantalo estis malkovrita en Svedio en 1802 de Anders Ekeberg en la mineraloj tantalito el Finnlando kaj yttrotantalito el Svedio.<br><br>Bedaŭrinde, William Hyde Wollaston asertis ke la nova elemento de Ekeberg estis fakte niobio, kio ankaŭ estis malkovrita en 1802.<br><br>En 1846, germana kemiisto Heinrich Rose fine pruvis preter dubo ke tantalo kaj niobio estis malsamaj elementoj.
Tungsten	Torbern Bergman obtained from scheelite an oxide of a new element in 1781.<br><br>In 1783, José and Fausto Elhuyar found an acid made from wolframite that was identical to tungstic acid.<br><br>Later that year, in Spain, the brothers succeeded in isolating tungsten by reduction of this acid with charcoal, and they are credited with the discovery of the element.	Torbern Bergman obtenis el skelito oksidon de nova elemento en 1781.<br><br>En 1783, José kaj Fausto Elhuyar trovis acidon farita el volframaĵo kiu estis identika al volframata acido.<br><br>Poste tiun jaron, en Hispanio, la fratoj sukcesis izoli volframon per redukto de tiu acido kun karbo, kaj ili estas akreditataj je la malkovro de la elemento.
Rhenium	In 1908, Japanese chemist Masataka Ogawa announced that he discovered the 43rd element.<br><br>However, later analysis indicated the presence of rhenium (element 75), not element 43.<br><br>In 1922, Walter Noddack, Ida Eva Tacke and Otto Berg announced its separation from gadolinite and gave it the present name.	En 1908, japana kemiisto Masataka Ogawa anoncis ke li malkovris la 43an elementon.<br><br>Tamen, posta analizo indikis la ĉeeston de renio (elemento 75), ne elemento 43.<br><br>En 1922, Walter Noddack, Ida Eva Tacke kaj Otto Berg anoncis ĝian separadon el gadolinito kaj donis al ĝi la nunan nomon.
Osmium	Osmium was discovered in 1803 by English chemist Smithson Tennant in London.<br><br>Chemists who studied platinum dissolved it in aqua regia to create soluble salts and observed a small amount of a dark, insoluble residue.<br><br>Smithson Tennant analyzed the insoluble residue and concluded that it must contain a new metal.	Osmio estis malkovrita en 1803 de angla kemiisto Smithson Tennant en Londono.<br><br>Kemiistoj kiuj studis platinon dissolvis ĝin en akva regia por krei solubleajn salojn kaj observis malgrandan kvanton de malhela, nesolubla restaĵo.<br><br>Smithson Tennant analizis la nesolublan restaĵon kaj konkludis ke ĝi devis enhavi novan metalon.
Iridium	Iridium was discovered in 1803 by English chemist Smithson Tennant in London.<br><br>Chemists who studied platinum dissolved it in aqua regia to create soluble salts and observed a small amount of a dark, insoluble residue.<br><br>Smithson Tennant analyzed the insoluble residue and concluded that it must contain a new metal.	Iridio estis malkovrita en 1803 de angla kemiisto Smithson Tennant en Londono.<br><br>Kemiistoj kiuj studis platinon dissolvis ĝin en akva regia por krei solubleajn salojn kaj observis malgrandan kvanton de malhela, nesolubla restaĵo.<br><br>Smithson Tennant analizis la nesolublan restaĵon kaj konkludis ke ĝi devis enhavi novan metalon.
Platinum	Platinum was first used by pre-Columbian South American natives to produce artifacts.<br><br>Antonio de Ulloa published his findings about platinum in 1748, but Sir Charles Wood also investigated the metal in 1741.<br><br>First reference to it as a new metal was made by William Brownrigg in 1750.	Platino estis unue uzita de antaŭkolumbaj sudamerikaj indiĝenoj por produkti artefaktojn.<br><br>Antonio de Ulloa publikigis siajn trovaĵojn pri platino en 1748, sed sinjoro Charles Wood ankaŭ esploris la metalon en 1741.<br><br>Unua referenco al ĝi kiel nova metalo estis farita de William Brownrigg en 1750.
Gold	Gold has been known since prehistoric times and was the first metal used by humans.<br><br>Gold artifacts dated to 5000 years ago have been found in Egyptian tombs.<br><br>Gold of 98% purity has been found in Nahal Qunah in the ancient kingdom of Israel, dating from about 6000 years ago.	Oro estas konata ekde prahistorio kaj estis la unua metalo uzita de homoj.<br><br>Oraj artefaktoj datitaj al 5000 jaroj estis trovitaj en egiptaj tomboj.<br><br>Oro de 98% pureco estis trovita en Nahal Qunah en la antikva regno de Israelo, datita de ĉirkaŭ 6000 jaroj.
Mercury	Mercury was known to the ancient Chinese and Indians and has been found in Egyptian tombs dating back to about 1500 BC.<br><br>Alchemists thought of mercury as the First Matter from which all metals were formed.<br><br>They believed that different metals could be produced by varying the quality and quantity of sulfur contained within the mercury.	Hidrargo estis konata al la antikvaj ĉinoj kaj hindoj kaj estis trovita en egiptaj tomboj datitaj al ĉirkaŭ 1500 aK.<br><br>Alĥimiistoj pensis pri hidrargo kiel la Unua Materio el kiu ĉiuj metaloj estis formitaj.<br><br>Ili kredis ke malsamaj metaloj povis esti produktitaj per varyado de la kvalito kaj kvanto de sulfuro enhavita en la hidrargo.
Thallium	Thallium was discovered spectroscopically by Sir William Crookes in 1861, in London.<br><br>In 1862, Claude-Auguste Lamy used a spectrometer to determine the composition of a selenium-containing substance which was deposited during the production of sulfuric acid from pyrite.<br><br>He noticed the new green line in the spectra and concluded that a new element was present.	Talio estis malkovrita spektroskope de sinjoro William Crookes en 1861, en Londono.<br><br>En 1862, Claude-Auguste Lamy uzis spektrometron por determini la kunmetaĵon de selena substanco, kiu estis depozita dum la produktado de sulfura acido el pirito.<br><br>Li rimarkis la novan verdan linion en la spectroj kaj konkludis ke nova elemento ĉeestis.
Lead	Metallic lead beads dating back to 6400 BC have been found in Çatalhöyük in modern-day Turkey.<br><br>The Romans also used lead in molten form to secure iron pins that held together large limestone blocks in certain monumental buildings.<br><br>In alchemy, lead was thought to be the oldest metal and was associated with the planet Saturn.	Metalaj plumbaj perloj datitaj al 6400 aK estis trovitaj en Çatalhöyük en hodiaŭa Turkio.<br><br>La Romianoj ankaŭ uzis plumbon en fandita formo por sekurigi ferajn pinglojn kiuj tenis kune grandajn kalkŝtonajn blokojn en certaj monumentaj konstruaĵoj.<br><br>En alĥimio, plumbo estis pensita esti la plej malnova metalo kaj estis asociata kun la planedo Saturno.
Bismuth	Bismuth has been known since ancient times, so no one person is credited with its discovery.<br><br>The element was confused in early times with tin and lead because of its resemblance to those elements.<br><br>In 1753, French chemist Claude François Geoffroy demonstrated that this metal is distinct from lead and tin.	Bismuto estas konata ekde antikvaj tempoj, do neniu persono estas akreditita je ĝia malkovro.<br><br>La elemento estis konfuzita en fruaj tempoj kun stano kaj plumbo pro ĝia simileco al tiuj elementoj.<br><br>En 1753, franca kemiisto Claude François Geoffroy demonstris ke tiu ĉi metalo estas distingita de plumbo kaj stano.
Polonium	Polonium was discovered by Marie and Pierre Curie in 1898 in Paris.<br><br>This element was the first one discovered by the Curies while they were investigating the cause of pitchblende radioactivity.<br><br>The dangers of working with radioactive elements were not known when the Curies made their discoveries.	Polonio estis malkovrita de Marie kaj Pierre Curie en 1898 en Parizo.<br><br>Tiu ĉi elemento estis la unua malkovrita de la Curiej dum ili esploris la kaŭzon de pecblenda radioaktiveco.<br><br>La danĝeroj de laborado kun radioaktivaj elementoj ne estis konataj kiam la Curiej faris siajn malkovrojn.
Astatine	In 1869, existence of astatine was first predicted by Russian chemist Dmitri Mendeleev and called the element eka-iodine.<br><br>In 1940, Dale R. Corson, Kenneth Ross MacKenzie, and Emilio Segrè isolated the element at the University of California, Berkeley.<br><br>Instead of searching for the element in nature, the scientists created it by bombarding bismuth-209 with alpha particles.	En 1869, la ekzistado de astato estis unue antaŭdirita de rusa kemiisto Dmitri Mendeleev kaj nomita la elementon eka-jodo.<br><br>En 1940, Dale R. Corson, Kenneth Ross MacKenzie kaj Emilio Segrè izolis la elementon ĉe la Universitato de Kalifornio, Berkeley.<br><br>Anstataŭ serĉi la elementon en naturo, la sciencistoj kreis ĝin per bombado de bismuto-209 per alfa-partikloj.
Radon	Radon was discovered in 1900 by Friedrich Ernst Dorn in Halle, Germany.<br><br>He reported some experiments in which he noticed that radium compounds emanate a radioactive gas.<br><br>In 1910, Sir William Ramsay and Robert Whytlaw-Gray isolated radon, determined its density, and determined that it was the heaviest known gas.	Radono estis malkovrita en 1900 de Friedrich Ernst Dorn en Halle, Germanio.<br><br>Li raportis kelkajn eksperimentojn en kiuj li rimarkis ke radiumaj kunmetaĵoj elspiras radioaktivan gason.<br><br>En 1910, sinjoro William Ramsay kaj Robert Whytlaw-Gray izolis radonon, determinis ĝian denso, kaj determinis ke ĝi estis la plej peza konata gaso.
Francium	Francium was discovered in 1939 by Marguerite Perey of the Curie Institute in Paris, France.<br><br>It was discovered when she was researching the radioactive decay of actinium-227.<br><br>Marguerite Perey discovered that francium-223 is made naturally when actinium-227 emits an alpha-particle.	Francio estis malkovrita en 1939 de Marguerite Perey de la Curie-Instituto en Parizo, Francio.<br><br>Ĝi estis malkovrita kiam ŝi esploris la radioaktivan putriĝon de aktinium-227.<br><br>Marguerite Perey malkovris ke francium-223 estas farita nature kiam aktinium-227 elsendas alfa-partiklon.
Radium	Radium was discovered by Marie Curie and Pierre Curie in 1898.<br><br>They extracted the radium compound from a uraninite sample.<br><br>Radium was isolated in its metallic state by Marie Curie and André-Louis Debierne in 1910 through the electrolysis of radium chloride by using a mercury cathode and distilling in an atmosphere of hydrogen gas.	Radiumo estis malkovrita de Marie Curie kaj Pierre Curie en 1898.<br><br>Ili ekstraktis la radiumkunmetaĵon el uraninita specimeno.<br><br>Radiumo estis izolita en ĝia metala stato de Marie Curie kaj André-Louis Debierne en 1910 tra la elektrolizo de radiumklorido per uzo de merkura katodo kaj distilado en atmosfero de hidrogengaso.
Actinium	André-Louis Debierne, a French chemist, discovered actinium in 1899.<br><br>He separated it from pitchblende residues left by Marie and Pierre Curie after they had extracted radium.<br><br>Friedrich Oskar Giesel independently discovered actinium in 1902 as a substance being similar to lanthanum.	André-Louis Debierne, franca kemiisto, malkovris aktinium en 1899.<br><br>Li apartis ĝin el pecblenda restaĵoj lasitaj de Marie kaj Pierre Curie post kiam ili ekstraktis radiumon.<br><br>Friedrich Oskar Giesel sendepende malkovris aktinium en 1902 kiel substanco simila al lantano.
Thorium	Thorium was discovered by Jöns Jacob Berzelius in 1828, in Stockholm, Sweden.<br><br>Thorium was first observed to be radioactive in 1898, independently, by Polish-French physicist Marie Curie and German chemist Gerhard Carl Schmidt.<br><br>The crystal bar process was discovered by Anton Eduard van Arkel and Jan Hendrik de Boer in 1925 to produce high-purity metallic thorium.	Torio estis malkovrita de Jöns Jacob Berzelius en 1828, en Stokholmo, Svedio.<br><br>Torio estis unue observita esti radioaktiva en 1898, sendepende, de pola-franca fizikisto Marie Curie kaj germana kemiisto Gerhard Carl Schmidt.<br><br>La kristala stanga procezo estis malkovrita de Anton Eduard van Arkel kaj Jan Hendrik de Boer en 1925 por produkti altpuran metalan torion.
Protactinium	In 1900, William Crookes isolated protactinium as an intensely radioactive material from uranium<br><br>Protactinium was first identified in 1913 by Kasimir Fajans and Oswald Helmuth Göhring in Germany.<br><br>A more stable isotope of protactinium was discovered in 1917 by Otto Hahn and Lise Meitner at the Kaiser Wilhelm Institute in Berlin.	En 1900, William Crookes izolis protaktinium kiel intense radioaktivan materialon el uranio.<br><br>Protaktinium estis unue identigita en 1913 de Kasimir Fajans kaj Oswald Helmuth Göhring en Germanio.<br><br>Pli stabila izotopo de protaktinium estis malkovrita en 1917 de Otto Hahn kaj Lise Meitner ĉe la Kaiser Wilhelm Instituto en Berlino.
Uranium	Uranium was discovered in 1789 by the German chemist Martin Heinrich Klaproth.<br><br>In 1841, Eugène-Melchior Péligot isolated the first sample of uranium metal by heating uranium tetrachloride with potassium.<br><br>Antoine Henri Becquerel discovered radioactivity by using uranium in 1896.	Uranio estis malkovrita en 1789 de germana kemiisto Martin Heinrich Klaproth.<br><br>En 1841, Eugène-Melchior Péligot izolis la unuan specimenon de urania metalo per varmigado de urania tetraklorido kun kalio.<br><br>Antoine Henri Becquerel malkovris radioaktivecon per uzo de uranio en 1896.
Neptunium	Neptunium was the first synthetic transuranium element of the actinide series to be discovered.<br><br>Neptunium was first produced by Edwin McMillan and Philip H. Abelson in 1940 at Berkeley Radiation Laboratory of the University of California.<br><br>The team produced the neptunium isotope <sup>239</sup>Np by bombarding uranium with slow moving neutrons.	Neptunio estis la unua sinteza transurana elemento de la aktinida serio malkovrita.<br><br>Neptunio estis unue produktita de Edwin McMillan kaj Philip H. Abelson en 1940 ĉe Berkeley Radiation Laboratory de la Universitato de Kalifornio.<br><br>La teamo produktis la neptunia izotopon <sup>239</sup>Np per bombado de uranio kun malrapide moviĝantaj neŭtronoj.
Plutonium	Plutonium was first produced in 1940 by Glenn T. Seaborg, Edwin M. McMillan, Joseph W. Kennedy and Arthur Wahl.<br><br>Plutonium-238 was produced by deuteron bombardment of uranium-238 in the 60-inch cyclotron at the University of California, Berkeley.<br><br>The Berkeley team made neptunium-238 which decayed to plutonium-238.	Plutonio estis unue produktita en 1940 de Glenn T. Seaborg, Edwin M. McMillan, Joseph W. Kennedy kaj Arthur Wahl.<br><br>Plutonium-238 estis produktita per deuteron-bombado de uranium-238 en la 60-cola ciklotrono ĉe la Universitato de Kalifornio, Berkeley.<br><br>La Berkeley-teamo faris neptunium-238 kiu putriĝis al plutonium-238.
Americium	Americium-241 was first identified in 1944 by Glenn T. Seaborg, Ralph A. James, Leon O. Morgan and Albert Ghiorso at the metallurgical laboratory at the University of Chicago.<br><br>It was produced by irradiating plutonium with neutrons during the Manhattan Project.<br><br>Americium was first isolated as a pure compound by Burris Cunningham in 1945, at the University of Chicago.	Americio-241 estis unue identigita en 1944 de Glenn T. Seaborg, Ralph A. James, Leon O. Morgan kaj Albert Ghiorso ĉe la metalurgia laboratorio ĉe la Universitato de Ĉikago.<br><br>Ĝi estis produktita per irradiado de plutonio kun neŭtronoj dum la Manhatana Projekto.<br><br>Americio estis unue izolita kiel pura kunmetaĵo de Burris Cunningham en 1945, ĉe la Universitato de Ĉikago.
Curium	Curium was discovered by Glenn T. Seaborg, Ralph A. James and Albert Ghiorso in 1944 at the University of California, Berkeley.<br><br>It was produced by bombarding plutonium with alpha particles during the Manhattan Project.<br><br>Curium metal was produced only in 1951 by reduction of curium fluoride with barium.	Kurio estis malkovrita de Glenn T. Seaborg, Ralph A. James kaj Albert Ghiorso en 1944 ĉe la Universitato de Kalifornio, Berkeley.<br><br>Ĝi estis produktita per bombado de plutonio kun alfa-partikloj dum la Manhatana Projekto.<br><br>Kuria metalo estis produktita nur en 1951 per redukto de kuria fluorido kun bario.
Berkelium	Berkelium was discovered by Glenn T. Seaborg, Albert Ghiorso and Stanley G. Thompson in 1949 at the University of California, Berkeley.<br><br>It was produced by the bombardment of americium with alpha particles.<br><br>Berkelium was isolated in greater quantities for the first time by Burris Cunningham and Stanley Thompson in 1958.	Berkelio estis malkovrita de Glenn T. Seaborg, Albert Ghiorso kaj Stanley G. Thompson en 1949 ĉe la Universitato de Kalifornio, Berkeley.<br><br>Ĝi estis produktita per la bombado de americio kun alfa-partikloj.<br><br>Berkelio estis izolita en pli grandaj kvantoj por la unua fojo de Burris Cunningham kaj Stanley Thompson en 1958.
Californium	Californium was discovered by Stanley G. Thompson, Kenneth Street, Jr., Albert Ghiorso and Glenn T. Seaborg in 1950 at the University of California, Berkeley.<br><br>It was produced by the bombardment of curium with alpha particles.<br><br>Californium was isolated in macro quantities for the first time by Burris Cunningham and Stanley Thompson in 1958.	Kalifornio estis malkovrita de Stanley G. Thompson, Kenneth Street, Jnr., Albert Ghiorso kaj Glenn T. Seaborg en 1950 ĉe la Universitato de Kalifornio, Berkeley.<br><br>Ĝi estis produktita per la bombado de kurio kun alfa-partikloj.<br><br>Kalifornio estis izolita en makrokvantoj por la unua fojo de Burris Cunningham kaj Stanley Thompson en 1958.
Einsteinium	Einsteinium was discovered as a component of the debris of the first hydrogen bomb explosion in 1952.<br><br>It was identified by Albert Ghiorso and co-workers at the University of California, Berkeley in collaboration with the Argonne and Los Alamos National Laboratories, in the fallout from the Ivy Mike nuclear test.<br><br>The new element was produced by the nuclear explosion in miniscule amounts by the addition of 15 neutrons to uranium-238.	Ejnŝtejnio estis malkovrita kiel komponento de la derombaĵoj de la unua hidrogena bombo-eksplodo en 1952.<br><br>Ĝi estis identigita de Albert Ghiorso kaj kunlaborantoj ĉe la Universitato de Kalifornio, Berkeley, en kunlaboro kun la Argonne kaj Los Alamos Naciaj Laboratorioj, en la radioaktiva falfaĵo de la Ivy Mike nuklea testo.<br><br>La nova elemento estis produktita per la nuklea eksplodo en minimumaj kvantoj per la aldono de 15 neŭtronoj al uranium-238.
Fermium	Fermium was discovered as a component of the debris of the first hydrogen bomb explosion in 1952.<br><br>It was identified by Albert Ghiorso and co-workers at the University of California, Berkeley in collaboration with the Argonne and Los Alamos National Laboratories, in the fallout from the Ivy Mike nuclear test.<br><br>The new element was produced by the nuclear fission of 17 neutrons with uranium-238.	Fermio estis malkovrita kiel komponento de la derombaĵoj de la unua hidrogena bombo-eksplodo en 1952.<br><br>Ĝi estis identigita de Albert Ghiorso kaj kunlaborantoj ĉe la Universitato de Kalifornio, Berkeley, en kunlaboro kun la Argonne kaj Los Alamos Naciaj Laboratorioj, en la radioaktiva falfaĵo de la Ivy Mike nuklea testo.<br><br>La nova elemento estis produktita per nuklea fisio de 17 neŭtronoj kun uranium-238.
Mendelevium	Mendelevium was discovered by Albert Ghiorso, Glenn T. Seaborg, Gregory R. Choppin, Bernard G. Harvey and Stanley G. Thompson in 1955 at the University of California, Berkeley.<br><br>It was produced by the bombardment of einsteinium with helium.<br><br>Mendelevium was identified by chemical analysis in an ion exchange experiment.	Mendelevio estis malkovrita de Albert Ghiorso, Glenn T. Seaborg, Gregory R. Choppin, Bernard G. Harvey kaj Stanley G. Thompson en 1955 ĉe la Universitato de Kalifornio, Berkeley.<br><br>Ĝi estis produktita per la bombado de ejnŝtejnio kun helio.<br><br>Mendelevio estis identigita per kemia analizo en jona interŝanĝa eksperimento.
Nobelium	Nobelium was discovered by Albert Ghiorso, Glenn T. Seaborg, John R. Walton and Torbjørn Sikkeland in 1958 at the University of California, Berkeley.<br><br>It was produced by the bombardment of curium with carbon atoms.<br><br>It was correctly identified in 1966 by scientists at the Flerov Laboratory of Nuclear Reactions in Dubna, Soviet Union.	Nobelio estis malkovrita de Albert Ghiorso, Glenn T. Seaborg, John R. Walton kaj Torbjørn Sikkeland en 1958 ĉe la Universitato de Kalifornio, Berkeley.<br><br>Ĝi estis produktita per la bombado de kurio kun karbonaj atomoj.<br><br>Ĝi estis ĝuste identigita en 1966 de sciencistoj ĉe la Flerov Laboratorio de Nukleaj Reagoj en Dubna, Sovetunio.
Lawrencium	Lawrencium was discovered by Albert Ghiorso, Torbjørn Sikkeland, Almon Larsh and Robert M. Latimer in 1961 at the University of California, Berkeley.<br><br>It was produced by the bombardment of californium with boron atoms.<br><br>Lawrencium was the last member of the actinide series to be discovered.	Laŭrencio estis malkovrita de Albert Ghiorso, Torbjørn Sikkeland, Almon Larsh kaj Robert M. Latimer en 1961 ĉe la Universitato de Kalifornio, Berkeley.<br><br>Ĝi estis produktita per la bombado de kalifornio kun boraj atomoj.<br><br>Laŭrencio estis la lasta membro de la aktinida serio, kiu estis malkovrita.
Rutherfordium	Rutherfordium was reportedly first detected in 1964 at the Joint Institute of Nuclear Research at Dubna.<br><br>The element was synthesized by Albert Ghiorso, Matti Nurmia, James Andrew Harris, Kari Eskola and Pirkko Eskola in 1968 at the University of California, Berkeley.<br><br>It was produced by the bombardment of californium with carbon atoms.	Rutherfordio estis laŭdire unue detektita en 1964 ĉe la Komuna Instituto de Nuklea Esploro en Dubna.<br><br>La elemento estis sintetigita de Albert Ghiorso, Matti Nurmia, James Andrew Harris, Kari Eskola kaj Pirkko Eskola en 1968 ĉe la Universitato de Kalifornio, Berkeley.<br><br>Ĝi estis produktita per la bombado de kalifornio kun karbonaj atomoj.
Dubnium	Dubnium was reportedly first discovered in 1968 at the Joint Institute for Nuclear Research at Dubna.<br><br>Researchers there bombarded an americium-243 target with neon-22 ions.<br><br>In the same year, a team led by Albert Ghiorso working at the University of California, Berkeley conclusively synthesized the element by bombarding a californium-249 target with nitrogen-15 ions.	Dubnio estis laŭdire unue malkovrita en 1968 ĉe la Komuna Instituto por Nuklea Esploro en Dubna.<br><br>Esploristoj tie bombadis americio-243 celon kun neon-22 jonoj.<br><br>En la sama jaro, teamo gvidita de Albert Ghiorso laboranta ĉe la Universitato de Kalifornio, Berkeley, konkluzive sintetigis la elementon per bombado de kalifornio-249 celo kun nitrogeno-15 jonoj.
