Element	English	Malay
Silver	Silver has been used for thousands of years for ornaments and utensils, for trade, and as the basis for many monetary systems.<br><br>Its value as a precious metal was long considered second only to gold.<br><br>Slag dumps in Asia Minor and on islands in the Aegean Sea indicate that man learned to separate silver from lead as early as 3000 BC.	Perak telah digunakan selama ribuan tahun untuk perhiasan dan peralatan, untuk perdagangan, dan sebagai asas bagi banyak sistem kewangan.<br><br>Nilainya sebagai logam berharga telah lama dianggap kedua selepas emas.<br><br>Timbunan sanga di Asia Kecil dan di pulau-pulau di Laut Aegea menunjukkan bahawa manusia belajar memisahkan perak daripada plumbum seawal 3000 SM.
Cadmium	Cadmium was discovered by German chemist Friedrich Stromeyer in 1817 as an impurity in zinc carbonate.<br><br>Stromeyer noted that some impure samples of calamine (zinc carbonate) changed color when heated but pure calamine did not.<br><br>Cadmium was independently discovered by German chemist Karl Hermann in 1818.	Kadmium ditemui oleh ahli kimia Jerman Friedrich Stromeyer pada tahun 1817 sebagai ketidaktulenan dalam zink karbonat.<br><br>Stromeyer mencatat bahawa beberapa sampel kalamanit tidak tulen (zink karbonat) berubah warna apabila dipanaskan tetapi kalamanit tulen tidak.<br><br>Kadmium secara bebas ditemui oleh ahli kimia Jerman Karl Hermann pada tahun 1818.
Indium	Ferdinand Reich and Hieronymous Theodor Richter first identified indium in sphalerite by its bright indigo-blue spectroscopic emission line.<br><br>As no element was known with a bright blue emission they concluded that a new element was present in the minerals.<br><br>Richter went on to isolate the metal in 1864.	Ferdinand Reich dan Hieronymous Theodor Richter pertama kali mengenal pasti indium dalam sfalerit melalui garis spektroskopi emisi indigo-biru yang cerah.<br><br>Oleh kerana tiada unsur yang diketahui dengan emisi biru yang cerah, mereka menyimpulkan bahawa unsur baru terdapat dalam mineral tersebut.<br><br>Richter kemudian mengasingkan logam pada tahun 1864.
Tin	Tin was first smelted in combination with copper around 3500 BC to produce bronze.<br><br>The oldest artifacts date from around 2000 BC.<br><br>Cassiterite, the tin oxide form of tin, was most likely the original source of tin in ancient times.<br><br>British scientist Robert Boyle published a description of his experiments on the oxidation of tin in 1673.	Timah pertama kali dileburkan bersama tembaga sekitar 3500 SM untuk menghasilkan gangsa.<br><br>Artifak tertua bertarikh sekitar 2000 SM.<br><br>Kasiterit, bentuk oksida timah bagi timah, kemungkinan besar merupakan sumber asli timah pada zaman kuno.<br><br>Saintis Britain Robert Boyle menerbitkan huraian eksperimennya tentang pengoksidaan timah pada tahun 1673.
Antimony	One of antimony's minerals, stibnite was recognized in predynastic Egypt as an eye cosmetic as early as about 3100 BC.<br><br>The first European description of a procedure for isolating antimony is in the book De la pirotechnia of 1540 by Vannoccio Biringuccio.<br><br>The first natural occurrence of pure antimony in the Earth's crust was described by the Swedish scientist and local mine district engineer Anton von Swab in 1783.	Salah satu mineral antimon, stibnat, diiktiraf di Mesir pra-dinasti sebagai kosmetik mata seawal sekitar 3100 SM.<br><br>Penerangan Eropah pertama mengenai prosedur mengasingkan antimon terdapat dalam buku De la pirotechnia 1540 oleh Vannoccio Biringuccio.<br><br>Kemunculan semula jadi pertama antimon tulen dalam kerak bumi digambarkan oleh saintis Sweden dan jurutera daerah lombong tempatan Anton von Swab pada tahun 1783.
Tellurium	Tellurium was discovered in Transylvania in 1782 by Franz-Joseph Müller von Reichenstein in a mineral containing tellurium and gold.<br><br>In 1789, another Hungarian scientist, Pál Kitaibel, also discovered the element independently in an ore from Deutsch-Pilsen which had been regarded as argentiferous molybdenite.<br><br>In 1798, it was named by Martin Heinrich Klaproth who earlier isolated it from the mineral calaverite.	Tellurium ditemui di Transylvania pada tahun 1782 oleh Franz-Joseph Müller von Reichenstein dalam mineral yang mengandungi telurium dan emas.<br><br>Pada tahun 1789, saintis Hungary lain, Pál Kitaibel, juga menemui unsur tersebut secara bebas dalam bijih dari Deutsch-Pilsen yang dianggap sebagai molibdenit argentifer.<br><br>Pada tahun 1798, ia dinamakan oleh Martin Heinrich Klaproth yang lebih awal telah mengasingkannya dari mineral kalaveriti.
Iodine	Iodine was discovered by French chemist Bernard Courtois in 1811.<br><br>He treated the liquor obtained from the extraction of kelp, with sulfuric acid to produce a vapour with a violet color.<br><br>In 1812, Joseph Louis Gay-Lussac demonstrated that iodine was an element and its chemical relationship to chlorine.	Iodine ditemui oleh ahli kimia Perancis Bernard Courtois pada tahun 1811.<br><br>Beliau merawat cecair yang diperoleh dari pengekstrakan tanglung, dengan asid sulfurik untuk menghasilkan wap berwarna ungu.<br><br>Pada tahun 1812, Joseph Louis Gay-Lussac menunjukkan bahawa iodin adalah unsur dan hubungan kimianya dengan klorin.
Xenon	Xenon was discovered in England by the Scottish chemist William Ramsay and English chemist Morris Travers in 1898.<br><br>They found xenon in the residue left over from evaporating components of liquid air.<br><br>Spectroscopic analysis showed the previously unseen beautiful blue lines that indicated the presence of a new element.	Xenon ditemui di England oleh ahli kimia Scotland William Ramsay dan ahli kimia Inggeris Morris Travers pada tahun 1898.<br><br>Mereka menemui xenon dalam sisa yang tinggal setelah menguapkan komponen udara cecair.<br><br>Analisis spektroskopi menunjukkan garis-garis biru indah yang belum pernah dilihat sebelumnya yang menunjukkan kehadiran unsur baru.
Caesium	Robert Bunsen and Gustav Kirchhoff were the first to suggest finding cesium in 1860 by spectrum analysis.<br><br>They discovered cesium by its two blue emission lines in a sample of Dürkheim mineral water.<br><br>The pure metal was eventually isolated by the German chemist Carl Setterberg while working on his doctorate with Kekulé and Bunsen.	Robert Bunsen dan Gustav Kirchhoff adalah yang pertama mencadangkan mencari sesium pada tahun 1860 melalui analisis spektrum.<br><br>Mereka menemui sesium melalui dua garis emisi biru dalam sampel air mineral Dürkheim.<br><br>Logam tulen akhirnya diasingkan oleh ahli kimia Jerman Carl Setterberg semasa mengerjakan doktoratnya bersama Kekulé dan Bunsen.
Barium	Barium was identified as a new element in 1774 by Carl Wilhelm Scheele.<br><br>Barium was first isolated by electrolysis of molten barium salts in 1808, by Sir Humphry Davy in England.<br><br>Robert Bunsen and Augustus Matthiessen obtained pure barium by electrolysis of a molten mixture of barium chloride and ammonium chloride.	Barium dikenal pasti sebagai unsur baru pada tahun 1774 oleh Carl Wilhelm Scheele.<br><br>Barium pertama kali diasingkan melalui elektrolisis garam barium lebur pada tahun 1808, oleh Sir Humphry Davy di England.<br><br>Robert Bunsen dan Augustus Matthiessen mendapat barium tulen melalui elektrolisis campuran lebur barium klorida dan amonium klorida.
Lanthanum	Lanthanum was discovered in 1839 by Swedish chemist Carl Gustav Mosander.<br><br>He partially decomposed a sample of cerium nitrate by heating and treating the resulting salt with dilute nitric acid.<br><br>From the resulting solution, he obtained a pale brick colored oxide of the new rare earth.<br><br>Lanthanum was isolated in relatively pure form in 1923.	Lanthanum ditemui pada tahun 1839 oleh ahli kimia Sweden Carl Gustav Mosander.<br><br>Beliau sebahagiannya menguraikan sampel serium nitrat dengan memanaskan dan merawat garam yang dihasilkan dengan asid nitrik cair.<br><br>Daripada larutan yang dihasilkan, beliau mendapat oksida berwarna bata pucat dari tanah nadir baru.<br><br>Lanthanum diasingkan dalam bentuk yang agak tulen pada tahun 1923.
Cerium	Jöns Jakob Berzelius and Wilhelm Hisinger discovered the element in ceria in 1803 in Sweden.<br><br>Klaproth discovered it simultaneously and independently in some tantalum samples in Germany.<br><br>Carl Gustaf Mosander, who worked closely with Berzelius, prepared metallic cerium in 1825.	Jöns Jakob Berzelius dan Wilhelm Hisinger menemui unsur ini dalam seri pada tahun 1803 di Sweden.<br><br>Klaproth menemuinya pada waktu yang sama dan secara bebas dalam beberapa sampel tantalum di Jerman.<br><br>Carl Gustaf Mosander, yang bekerja rapat dengan Berzelius, menyediakan cerium logam pada tahun 1825.
Praseodymium	Praseodymium was first identified in 1885, in Vienna, by the Austrian chemist Carl Auer von Welsbach.<br><br>It was discovered in didymium, a substance incorrectly said by Carl Gustav Mosander to be a new element in 1841.<br><br>Pure metallic praseodymium was first produced in 1931.	Praseodimium pertama kali dikenal pasti pada tahun 1885, di Vienna, oleh ahli kimia Austria Carl Auer von Welsbach.<br><br>Ia ditemui dalam didimium, bahan yang secara tidak betul dikatakan oleh Carl Gustav Mosander sebagai unsur baru pada tahun 1841.<br><br>Praseodimium logam tulen pertama kali dihasilkan pada tahun 1931.
Neodymium	Neodymium was first identified in 1885, in Vienna, by the Austrian chemist Carl Auer von Welsbach.<br><br>It was discovered in didymium, a substance incorrectly said by Carl Gustav Mosander to be a new element in 1841.<br><br>Pure neodymium metal was isolated in 1925.	Neodimium pertama kali dikenal pasti pada tahun 1885, di Vienna, oleh ahli kimia Austria Carl Auer von Welsbach.<br><br>Ia ditemui dalam didimium, bahan yang secara tidak betul dikatakan oleh Carl Gustav Mosander sebagai unsur baru pada tahun 1841.<br><br>Logam neodimium tulen diasingkan pada tahun 1925.
Promethium	The existence of an element between neodymium and samarium was first predicted by Czech chemist Bohuslav Brauner in 1902.<br><br>Promethium was first produced and characterized at Oak Ridge National Laboratory in 1945 by Jacob A. Marinsky, Lawrence E. Glendenin and Charles D. Coryell.<br><br>It was produced by the separation and analysis of the fission products of uranium fuel irradiated in a graphite reactor.	Kewujudan unsur antara neodimium dan samarium pertama kali diramalkan oleh ahli kimia Czech Bohuslav Brauner pada tahun 1902.<br><br>Prometium pertama kali dihasilkan dan dicirikan di Oak Ridge National Laboratory pada tahun 1945 oleh Jacob A. Marinsky, Lawrence E. Glendenin dan Charles D. Coryell.<br><br>Ia dihasilkan melalui pemisahan dan analisis produk fisi bahan api uranium yang diiradiasi dalam reaktor grafit.
Samarium	In 1853, Jean Charles Galissard de Marignac discovered samarium when he found lines in mineral spectra.<br><br>Paul Émile Lecoq de Boisbaudran isolated a samarium salt in Paris in 1879 from the mineral samarskite and identified a new element in it via sharp optical absorption lines.<br><br>The pure element was produced only in 1901 by Eugène-Anatole Demarçay.	Pada tahun 1853, Jean Charles Galissard de Marignac menemui samarium apabila beliau menemui garis dalam spektrum mineral.<br><br>Paul Émile Lecoq de Boisbaudran mengasingkan garam samarium di Paris pada tahun 1879 dari mineral samarskite dan mengenal pasti unsur baru di dalamnya melalui garis penyerapan optik yang tajam.<br><br>Unsur tulen hanya dihasilkan pada tahun 1901 oleh Eugène-Anatole Demarçay.
Europium	Europium was first found by Paul Émile Lecoq de Boisbaudran in 1890.<br><br>In 1896, French chemist Eugène-Antole Demarçay identified spectroscopic lines in ‘samarium' caused by europium.<br><br>He successfully isolated europium in 1901 using repeated crystallizations of samarium magnesium nitrate.	Europium pertama kali dijumpai oleh Paul Émile Lecoq de Boisbaudran pada tahun 1890.<br><br>Pada tahun 1896, ahli kimia Perancis Eugène-Antole Demarçay mengenal pasti garis spektroskopi dalam 'samarium' yang disebabkan oleh europium.<br><br>Beliau berjaya mengasingkan europium pada tahun 1901 menggunakan penghabluran berulang samarium magnesium nitrat.
Gadolinium	Gadolinium was first detected spectroscopically in 1880 by the Swiss chemist Jean Charles Galissard de Marignac who separated its oxide.<br><br>He observed spectroscopic lines due to gadolinium in samples of gadolinite and in the separate mineral cerite.<br><br>The metal was isolated by Paul Emile Lecoq de Boisbaudran in 1886.	Gadolinium pertama kali dikesan secara spektroskopi pada tahun 1880 oleh ahli kimia Switzerland Jean Charles Galissard de Marignac yang memisahkan oksidanya.<br><br>Beliau memerhatikan garis spektroskopi disebabkan oleh gadolinium dalam sampel gadolinit dan dalam mineral cerit yang berasingan.<br><br>Logam ini diasingkan oleh Paul Emile Lecoq de Boisbaudran pada tahun 1886.
Terbium	Terbium was discovered in 1843 by Swedish chemist Carl Gustaf Mosander, who detected it as an impurity in yttria.<br><br>Using ammonium hydroxide he precipitated fractions of different basicity from yttria.<br><br>In these fractions he found that the fraction that was essentially colorless in solution, but gave a brown-tinged oxide was terbium.	Terbium ditemui pada tahun 1843 oleh ahli kimia Sweden Carl Gustaf Mosander, yang mengesannya sebagai ketidaktulenan dalam yttria.<br><br>Menggunakan amonium hidroksida, beliau memendapkan pecahan kebasaan berbeza daripada yttria.<br><br>Dalam pecahan-pecahan ini, beliau menemui bahawa pecahan yang pada dasarnya tidak berwarna dalam larutan, tetapi menghasilkan oksida berwarna kecoklatan adalah terbium.
Dysprosium	French chemist Paul Émile Lecoq de Boisbaudran, while working with holmium oxide, separated dysprosium oxide from it in Paris in 1886.<br><br>His procedure for isolating the dysprosium involved dissolving dysprosium oxide in acid, then adding ammonia to precipitate the hydroxide.<br><br>It was not isolated in pure form until the development of ion exchange techniques in the 1950s.	Ahli kimia Perancis Paul Émile Lecoq de Boisbaudran, semasa bekerja dengan oksida holmium, memisahkan oksida disprosium daripadanya di Paris pada tahun 1886.<br><br>Prosedurnya untuk mengasingkan disprosium melibatkan melarutkan oksida disprosium dalam asid, kemudian menambah ammonia untuk memendapkan hidroksida.<br><br>Ia tidak diasingkan dalam bentuk tulen sehingga pembangunan teknik pertukaran ion pada tahun 1950-an.
Holmium	Holmium was discovered by Swiss chemists Marc Delafontaine and Jacques-Louis Soret in 1878.<br><br>They noticed the aberrant spectrographic absorption bands of the then-unknown element.<br><br>Later in 1878, Per Teodor Cleve independently discovered the element while he was working on erbia earth.	Holmium ditemui oleh ahli kimia Switzerland Marc Delafontaine dan Jacques-Louis Soret pada tahun 1878.<br><br>Mereka memperhatikan jalur penyerapan spektrografi yang menyimpang dari unsur yang pada masa itu tidak diketahui.<br><br>Kemudian pada tahun 1878, Per Teodor Cleve secara bebas menemui unsur ini ketika beliau sedang bekerja pada tanah erbia.
Erbium	Erbium was discovered in 1843 by Swedish chemist Carl Gustaf Mosander, who detected it as an impurity in yttria.<br><br>Using ammonium hydroxide he precipitated fractions of different basicity from yttria.<br><br>In these fractions he found that the fraction that contained the pink color was erbium.	Erbium ditemui pada tahun 1843 oleh ahli kimia Sweden Carl Gustaf Mosander, yang mengesannya sebagai ketidaktulenan dalam yttria.<br><br>Menggunakan amonium hidroksida, beliau memendapkan pecahan kebasaan berbeza daripada yttria.<br><br>Dalam pecahan-pecahan ini, beliau menemui bahawa pecahan yang mengandungi warna merah jambu adalah erbium.
Thulium	Thulium was discovered by Swedish chemist Per Teodor Cleve in 1879 by looking for impurities in the oxides of other rare earth elements.<br><br>The first researcher to obtain nearly pure thulium was Charles James, a British expatriate working on a large scale at New Hampshire College in Durham.<br><br>High-purity thulium oxide was first offered commercially in the late 1950s.	Thulium ditemui oleh ahli kimia Sweden Per Teodor Cleve pada tahun 1879 dengan mencari ketidaktulenan dalam oksida unsur tanah nadir lain.<br><br>Penyelidik pertama yang mendapatkan thulium yang hampir tulen ialah Charles James, seorang ekspatriat British yang bekerja secara besar-besaran di New Hampshire College di Durham.<br><br>Oksida thulium berketetulenan tinggi pertama kali ditawarkan secara komersial pada akhir tahun 1950-an.
Ytterbium	Ytterbium was discovered by the Swiss chemist Jean Charles Galissard de Marignac in the year 1878.<br><br>In 1907, in Paris, George Urbain separated ytterbia into two constituents.<br><br>Ytterbium metal was first made in 1937 by Klemm and Bonner by heating ytterbium chloride and potassium together.<br><br>A relatively pure sample of the metal was obtained only in 1953.	Ytterbium ditemui oleh ahli kimia Switzerland Jean Charles Galissard de Marignac pada tahun 1878.<br><br>Pada tahun 1907, di Paris, George Urbain memisahkan ytterbia menjadi dua konstituen.<br><br>Logam ytterbium pertama kali dibuat pada tahun 1937 oleh Klemm dan Bonner dengan memanaskan klorida ytterbium dan kalium bersama.<br><br>Sampel logam yang agak tulen hanya diperoleh pada tahun 1953.
Lutetium	French chemist Georges Urbain successfully separated lutetium from ytterbia in 1907 in Paris.<br><br>Austrian scientist Carl Auer von Welsbach and American chemist Charles James also succeeded in isolating lutetium independently in the same year.<br><br>Pure lutetium metal was first produced in 1953.	Ahli kimia Perancis Georges Urbain berjaya memisahkan lutetium daripada ytterbia pada tahun 1907 di Paris.<br><br>Saintis Austria Carl Auer von Welsbach dan ahli kimia Amerika Charles James juga berjaya mengasingkan lutetium secara bebas pada tahun yang sama.<br><br>Logam lutetium tulen pertama kali dihasilkan pada tahun 1953.
Hafnium	In 1911, Georges Urbain claimed to have found the element in rare-earth residues which was shown later to be a mixture of already discovered lanthanides.<br><br>Dirk Coster and George de Hevesy found it by X-ray spectroscopic analysis in Norwegian zircon in 1922.<br><br>Anton Eduard van Arkel and Jan Hendrik de Boer were the first to prepare metallic hafnium by passing hafnium tetra-iodide vapor over a heated tungsten filament in 1924.	Pada tahun 1911, Georges Urbain mendakwa telah menemui unsur dalam sisa tanah nadir yang kemudiannya terbukti merupakan campuran lantanida yang telah ditemui sebelumnya.<br><br>Dirk Coster dan George de Hevesy menemuinya melalui analisis spektroskopi sinar-X dalam zirkon Norway pada tahun 1922.<br><br>Anton Eduard van Arkel dan Jan Hendrik de Boer adalah yang pertama menyediakan hafnium logam dengan mengalirkan wap hafnium tetra-iodida ke atas filamen tungsten yang dipanaskan pada tahun 1924.
Tantalum	Tantalum was discovered in Sweden in 1802 by Anders Ekeberg in the minerals tantalite from Finland and yttrotantalite from Sweden.<br><br>Unfortunately, William Hyde Wollaston claimed Ekeberg's new element was actually niobium, which had also been discovered in 1802.<br><br>In 1846, German chemist Heinrich Rose finally proved beyond doubt that tantalum and niobium were different elements.	Tantalum ditemui di Sweden pada tahun 1802 oleh Anders Ekeberg dalam mineral tantalit dari Finland dan ytrotantalit dari Sweden.<br><br>Malangnya, William Hyde Wollaston mendakwa bahawa unsur baru Ekeberg sebenarnya adalah niobium, yang juga telah ditemui pada tahun 1802.<br><br>Pada tahun 1846, ahli kimia Jerman Heinrich Rose akhirnya membuktikan tanpa keraguan bahawa tantalum dan niobium adalah unsur yang berbeza.
Tungsten	Torbern Bergman obtained from scheelite an oxide of a new element in 1781.<br><br>In 1783, José and Fausto Elhuyar found an acid made from wolframite that was identical to tungstic acid.<br><br>Later that year, in Spain, the brothers succeeded in isolating tungsten by reduction of this acid with charcoal, and they are credited with the discovery of the element.	Torbern Bergman mendapat oksida unsur baru daripada scheelite pada tahun 1781.<br><br>Pada tahun 1783, José dan Fausto Elhuyar menemui asid yang dibuat daripada wolframit yang sama dengan asid wolframik.<br><br>Kemudian pada tahun itu, di Sepanyol, adik-beradik itu berjaya mengasingkan tungsten melalui penurunan asid ini dengan arang, dan mereka dikreditkan dengan penemuan unsur tersebut.
Rhenium	In 1908, Japanese chemist Masataka Ogawa announced that he discovered the 43rd element.<br><br>However, later analysis indicated the presence of rhenium (element 75), not element 43.<br><br>In 1922, Walter Noddack, Ida Eva Tacke and Otto Berg announced its separation from gadolinite and gave it the present name.	Pada tahun 1908, ahli kimia Jepun Masataka Ogawa mengumumkan bahawa beliau telah menemui unsur ke-43.<br><br>Walau bagaimanapun, analisis kemudian menunjukkan kehadiran rhenium (unsur 75), bukan unsur 43.<br><br>Pada tahun 1922, Walter Noddack, Ida Eva Tacke dan Otto Berg mengumumkan pemisahannya daripada gadolinit dan memberikannya nama sekarang.
Osmium	Osmium was discovered in 1803 by English chemist Smithson Tennant in London.<br><br>Chemists who studied platinum dissolved it in aqua regia to create soluble salts and observed a small amount of a dark, insoluble residue.<br><br>Smithson Tennant analyzed the insoluble residue and concluded that it must contain a new metal.	Osmium ditemui pada tahun 1803 oleh ahli kimia Inggeris Smithson Tennant di London.<br><br>Ahli kimia yang mengkaji platinum melarutkannya dalam aqua regia untuk membuat garam yang larut dan memerhatikan sejumlah kecil sisa yang gelap dan tidak larut.<br><br>Smithson Tennant menganalisis sisa yang tidak larut dan menyimpulkan bahawa ia mesti mengandungi logam baru.
Iridium	Iridium was discovered in 1803 by English chemist Smithson Tennant in London.<br><br>Chemists who studied platinum dissolved it in aqua regia to create soluble salts and observed a small amount of a dark, insoluble residue.<br><br>Smithson Tennant analyzed the insoluble residue and concluded that it must contain a new metal.	Iridium ditemui pada tahun 1803 oleh ahli kimia Inggeris Smithson Tennant di London.<br><br>Ahli kimia yang mengkaji platinum melarutkannya dalam aqua regia untuk membuat garam yang larut dan memerhatikan sejumlah kecil sisa yang gelap dan tidak larut.<br><br>Smithson Tennant menganalisis sisa yang tidak larut dan menyimpulkan bahawa ia mesti mengandungi logam baru.
Platinum	Platinum was first used by pre-Columbian South American natives to produce artifacts.<br><br>Antonio de Ulloa published his findings about platinum in 1748, but Sir Charles Wood also investigated the metal in 1741.<br><br>First reference to it as a new metal was made by William Brownrigg in 1750.	Platinum pertama kali digunakan oleh penduduk asli Amerika Selatan pra-Kolumbia untuk menghasilkan artifak.<br><br>Antonio de Ulloa menerbitkan penemuannya tentang platinum pada tahun 1748, tetapi Sir Charles Wood juga menyiasat logam ini pada tahun 1741.<br><br>Rujukan pertama kepada platinum sebagai logam baru dibuat oleh William Brownrigg pada tahun 1750.
Gold	Gold has been known since prehistoric times and was the first metal used by humans.<br><br>Gold artifacts dated to 5000 years ago have been found in Egyptian tombs.<br><br>Gold of 98% purity has been found in Nahal Qunah in the ancient kingdom of Israel, dating from about 6000 years ago.	Emas telah diketahui sejak zaman prasejarah dan merupakan logam pertama yang digunakan oleh manusia.<br><br>Artifak emas yang bertarikh 5000 tahun lalu telah ditemui dalam makam Mesir.<br><br>Emas dengan ketulenan 98% telah ditemui di Nahal Qunah dalam kerajaan kuno Israel, bertarikh sekitar 6000 tahun lalu.
Mercury	Mercury was known to the ancient Chinese and Indians and has been found in Egyptian tombs dating back to about 1500 BC.<br><br>Alchemists thought of mercury as the First Matter from which all metals were formed.<br><br>They believed that different metals could be produced by varying the quality and quantity of sulfur contained within the mercury.	Merkuri diketahui oleh orang Cina dan India kuno dan telah ditemui dalam makam Mesir yang bertarikh sekitar 1500 SM.<br><br>Ahli alkimia menganggap merkuri sebagai Bahan Pertama dari mana semua logam terbentuk.<br><br>Mereka percaya bahawa logam yang berbeza boleh dihasilkan dengan mengubah kualiti dan kuantiti sulfur yang terdapat dalam merkuri.
Thallium	Thallium was discovered spectroscopically by Sir William Crookes in 1861, in London.<br><br>In 1862, Claude-Auguste Lamy used a spectrometer to determine the composition of a selenium-containing substance which was deposited during the production of sulfuric acid from pyrite.<br><br>He noticed the new green line in the spectra and concluded that a new element was present.	Thallium ditemui secara spektroskopi oleh Sir William Crookes pada tahun 1861, di London.<br><br>Pada tahun 1862, Claude-Auguste Lamy menggunakan spektrometer untuk menentukan komposisi bahan yang mengandungi selenium yang dimendapkan semasa penghasilan asid sulfurik dari pirit.<br><br>Beliau memperhatikan garis hijau baru dalam spektra dan menyimpulkan bahawa unsur baru terdapat.
Lead	Metallic lead beads dating back to 6400 BC have been found in Çatalhöyük in modern-day Turkey.<br><br>The Romans also used lead in molten form to secure iron pins that held together large limestone blocks in certain monumental buildings.<br><br>In alchemy, lead was thought to be the oldest metal and was associated with the planet Saturn.	Manik plumbum logam yang bertarikh kira-kira 6400 SM telah ditemui di Çatalhöyük di Turki moden.<br><br>Orang Rom juga menggunakan plumbum dalam bentuk lebur untuk mengikat pin besi yang menyatukan blok batu kapur besar dalam bangunan-bangunan monumental tertentu.<br><br>Dalam alkimia, plumbum dianggap sebagai logam tertua dan dikaitkan dengan planet Saturnus.
Bismuth	Bismuth has been known since ancient times, so no one person is credited with its discovery.<br><br>The element was confused in early times with tin and lead because of its resemblance to those elements.<br><br>In 1753, French chemist Claude François Geoffroy demonstrated that this metal is distinct from lead and tin.	Bismuth telah diketahui sejak zaman kuno, jadi tidak ada satu orang pun yang dikreditkan dengan penemuannya.<br><br>Unsur ini pada awalnya keliru dengan timah dan plumbum kerana kesamaannya dengan unsur-unsur tersebut.<br><br>Pada tahun 1753, ahli kimia Perancis Claude François Geoffroy menunjukkan bahawa logam ini berbeza daripada plumbum dan timah.
Polonium	Polonium was discovered by Marie and Pierre Curie in 1898 in Paris.<br><br>This element was the first one discovered by the Curies while they were investigating the cause of pitchblende radioactivity.<br><br>The dangers of working with radioactive elements were not known when the Curies made their discoveries.	Polonium ditemui oleh Marie dan Pierre Curie pada tahun 1898 di Paris.<br><br>Unsur ini adalah yang pertama ditemui oleh pasangan Curie ketika mereka menyiasat punca radioaktiviti pitchblende.<br><br>Bahaya bekerja dengan unsur radioaktif tidak diketahui ketika pasangan Curie membuat penemuan mereka.
Astatine	In 1869, existence of astatine was first predicted by Russian chemist Dmitri Mendeleev and called the element eka-iodine.<br><br>In 1940, Dale R. Corson, Kenneth Ross MacKenzie, and Emilio Segrè isolated the element at the University of California, Berkeley.<br><br>Instead of searching for the element in nature, the scientists created it by bombarding bismuth-209 with alpha particles.	Pada tahun 1869, kewujudan astatine pertama kali diramalkan oleh ahli kimia Rusia Dmitri Mendeleev dan menamakan unsur itu eka-iodine.<br><br>Pada tahun 1940, Dale R. Corson, Kenneth Ross MacKenzie dan Emilio Segrè mengasingkan unsur tersebut di Universiti California, Berkeley.<br><br>Daripada mencari unsur tersebut di alam semula jadi, saintis menciptakannya dengan menembak bismut-209 dengan zarah alfa.
Radon	Radon was discovered in 1900 by Friedrich Ernst Dorn in Halle, Germany.<br><br>He reported some experiments in which he noticed that radium compounds emanate a radioactive gas.<br><br>In 1910, Sir William Ramsay and Robert Whytlaw-Gray isolated radon, determined its density, and determined that it was the heaviest known gas.	Radon ditemui pada tahun 1900 oleh Friedrich Ernst Dorn di Halle, Jerman.<br><br>Beliau melaporkan beberapa eksperimen di mana beliau mendapati bahawa sebatian radium memancarkan gas radioaktif.<br><br>Pada tahun 1910, Sir William Ramsay dan Robert Whytlaw-Gray mengasingkan radon, menentukan ketumpatannya, dan menentukan bahawa ia adalah gas terberat yang diketahui.
Francium	Francium was discovered in 1939 by Marguerite Perey of the Curie Institute in Paris, France.<br><br>It was discovered when she was researching the radioactive decay of actinium-227.<br><br>Marguerite Perey discovered that francium-223 is made naturally when actinium-227 emits an alpha-particle.	Francium ditemui pada tahun 1939 oleh Marguerite Perey dari Institut Curie di Paris, Perancis.<br><br>Ia ditemui ketika beliau menyelidik peluruhan radioaktif aktinium-227.<br><br>Marguerite Perey menemui bahawa francium-223 terbentuk secara semula jadi apabila aktinium-227 memancarkan zarah alfa.
Radium	Radium was discovered by Marie Curie and Pierre Curie in 1898.<br><br>They extracted the radium compound from a uraninite sample.<br><br>Radium was isolated in its metallic state by Marie Curie and André-Louis Debierne in 1910 through the electrolysis of radium chloride by using a mercury cathode and distilling in an atmosphere of hydrogen gas.	Radium ditemui oleh Marie Curie dan Pierre Curie pada tahun 1898.<br><br>Mereka mengekstrak sebatian radium daripada sampel uraninit.<br><br>Radium diasingkan dalam keadaan logam oleh Marie Curie dan André-Louis Debierne pada tahun 1910 melalui elektrolisis radium klorida menggunakan katod merkuri dan penyulingan dalam atmosfera gas hidrogen.
Actinium	André-Louis Debierne, a French chemist, discovered actinium in 1899.<br><br>He separated it from pitchblende residues left by Marie and Pierre Curie after they had extracted radium.<br><br>Friedrich Oskar Giesel independently discovered actinium in 1902 as a substance being similar to lanthanum.	André-Louis Debierne, seorang ahli kimia Perancis, menemui aktinium pada tahun 1899.<br><br>Beliau memisahkannya dari sisa pitchblende yang ditinggalkan oleh Marie dan Pierre Curie setelah mereka mengekstrak radium.<br><br>Friedrich Oskar Giesel secara bebas menemui aktinium pada tahun 1902 sebagai bahan yang serupa dengan lanthanum.
